auction_id,market_number,market_description,market_population,bidding_units,small_market_indicator
102,PEA207,"Brunswick, GA",298749,300, Y 
102,PEA208,"Salisbury, NC",297865,300, Y 
102,PEA209,"Green Bay, WI",296366,300, Y 
102,PEA210,"Binghamton, NY",295081,300, Y 
102,PEA211,"Ardmore, OK",291829,290, Y 
102,PEA212,"Anchorage, AK",291826,290, Y 
102,PEA213,"Bend, OR",289034,290, Y 
102,PEA214,"Lincoln, NE",285407,290, Y 
102,PEA215,"Hickory, NC",282468,280, Y 
102,PEA216,"Joplin, MO",280505,280, Y 
102,PEA217,"Lubbock, TX",278831,280, Y 
102,PEA218,"Wausau, WI",278831,280, Y 
102,PEA219,"Mason City, IA",277029,280, Y 
102,PEA220,"Odessa, TX",274002,270, Y 
102,PEA221,"Laredo, TX",269622,270, Y 
102,PEA222,"Morristown, TN",268978,270, Y 
102,PEA223,"Dubuque, IA",264752,260, Y 
102,PEA224,"De Kalb, IL",257786,260, Y 
102,PEA225,"La Crosse, WI",257376,260, Y 
102,PEA226,"Lima, OH",256337,260, Y 
102,PEA227,"Watertown, NY",255260,260, Y 
102,PEA228,"Roanoke, VA",252548,250, Y 
102,PEA229,"Saint George, UT",252481,250, Y 
102,PEA230,"Lumberton, NC",252467,250, Y 
102,PEA231,"Fremont, NE",249287,250, Y 
102,PEA232,"Topeka, KS",245402,250, Y 
102,PEA233,"Shelby, NC",244153,240, Y 
102,PEA234,"Lexington, NC",242524,240, Y 
102,PEA235,"Amarillo, TX",241798,240, Y 
102,PEA236,"Grand Island, NE",240913,240, Y 
102,PEA237,"Hinesville, GA",240344,240, Y 
102,PEA238,"Florence, SC",239989,240, Y 
102,PEA239,"Kannapolis, NC",238596,240, Y 
102,PEA240,"Charlottesville, VA",234712,230, Y 
102,PEA241,"Dublin, GA",233302,230, Y 
102,PEA242,"Lake Charles, LA",231201,230, Y 
102,PEA243,"Paducah, KY",230924,230, Y 
102,PEA244,"Manhattan, KS",230920,230, Y 
102,PEA245,"West Plains, MO",229798,230, Y 
102,PEA246,"Auburn, AL",228786,230, Y 
102,PEA247,"Nampa, ID",227487,230, Y 
102,PEA248,"Sumter, SC",223344,220, Y 
102,PEA249,"Bryan, TX",221455,220, Y 
102,PEA250,"Las Cruces, NM",221221,220, Y 
102,PEA251,"Salina, KS",219945,220, Y 
102,PEA252,"Sioux City, IA",218063,220, Y 
102,PEA253,"Baraboo, WI",216417,220, Y 
102,PEA254,"Merrill, WI",216161,220, Y 
102,PEA255,"Greenville, MS",214872,210, Y 
102,PEA256,"Lynchburg, VA",213977,210, Y 
102,PEA257,"Cheyenne, WY",213445,210, Y 
102,PEA258,"Cullman, AL",210229,210, Y 
102,PEA259,"Roswell, NM",209606,210, Y 
102,PEA260,"Alpena, MI",208861,210, Y 
102,PEA261,"Fargo, ND",208777,210, Y 
102,PEA262,"Hilton Head Island, SC",208100,210, Y 
102,PEA263,"Santa Fe, NM",201081,200, Y 
102,PEA264,"Kodiak, AK",200813,200, Y 
102,PEA265,"Winona, MN",197462,200, Y 
102,PEA266,"Lenoir, NC",197430,200, Y 
102,PEA267,"Sheboygan, WI",196949,200, Y 
102,PEA268,"Clinton, IA",196679,200, Y 
102,PEA269,"Racine, WI",195408,200, Y 
102,PEA270,"Ottawa, IL",193858,190, Y 
102,PEA271,"Elmira, NY",193433,190, Y 
102,PEA272,"Brownwood, TX",192692,190, Y 
102,PEA273,"Bloomington, IL",186133,190, Y 
102,PEA274,"Twin Falls, ID",185790,190, Y 
102,PEA275,"Corsicana, TX",184725,180, Y 
102,PEA276,"Rapid City, SD",183639,180, Y 
102,PEA277,"Hutchinson, KS",183101,180, Y 
102,PEA278,"Bartlesville, OK",179889,180, Y 
102,PEA279,"Logan, UT",179703,180, Y 
102,PEA280,"Garden City, KS",177150,180, Y 
102,PEA281,"Muskogee, OK",177148,180, Y 
102,PEA282,"Galesburg, IL",173607,170, Y 
102,PEA283,"Plattsburgh, NY",173097,170, Y 
102,PEA284,"Greenwood, SC",171848,170, Y 
102,PEA285,"Gallup, NM",170223,170, Y 
102,PEA286,"Sioux Falls, SD",169468,170, Y 
102,PEA287,"Kenosha, WI",166426,170, Y 
102,PEA288,"Abilene, TX",165252,170, Y 
102,PEA289,"Price, UT",164900,160, Y 
102,PEA290,"Watertown, SD",163741,160, Y 
102,PEA291,"Rockingham, NC",162684,160, Y 
102,PEA292,"Pueblo, CO",159063,160, Y 
102,PEA293,"Lawrenceburg, TN",158283,160, Y 
102,PEA294,"Waterloo, IA",155366,160, Y 
102,PEA295,"Stillwater, OK",152050,150, Y 
102,PEA296,"Pottsville, PA",148289,150, Y 
102,PEA297,"Pendleton, OR",146709,150, Y 
102,PEA298,"Fairbanks, AK",145928,150, Y 
102,PEA299,"Kirksville, MO",144847,140, Y 
102,PEA300,"Selma, AL",144376,140, Y 
102,PEA301,"Rochester, MN",144248,140, Y 
102,PEA302,"Enid, OK",143731,140, Y 
102,PEA303,"Great Falls, MT",143015,140, Y 
102,PEA304,"Mount Airy, NC",143013,140, Y 
102,PEA305,"Altus, OK",142644,140, Y 
102,PEA306,"Wichita Falls, TX",142252,140, Y 
102,PEA307,"Yankton, SD",141973,140, Y 
102,PEA308,"Americus, GA",138886,140, Y 
102,PEA309,"Elizabeth City, NC",137035,140, Y 
102,PEA310,"Farmington, MO",133395,130, Y 
102,PEA311,"Trinidad, CO",132721,130, Y 
102,PEA312,"Farmington, NM",130044,130, Y 
102,PEA313,"Lockhart, TX",128849,130, Y 
102,PEA314,"Jacksonville, TX",127971,130, Y 
102,PEA315,"Sheridan, WY",127963,130, Y 
102,PEA316,"Rock Springs, WY",125434,130, Y 
102,PEA317,"Beatrice, NE",124932,120, Y 
102,PEA318,"Thief River Falls, MN",124110,120, Y 
102,PEA319,"Albany, GA",122863,120, Y 
102,PEA320,"San Angelo, TX",119412,120, Y 
